Rank,Player,Team,Opp,Position,GAMES_WON,GAMES_LOST,POINTS_SCORED,POINTS_DIFF,Pts
1,"Payton, Sean",NOR,CLE,HC,1.,0.,35.,25.,29.
2,"Harbaugh, John",BAL,@CIN,HC,1.,0.,31.,17.,24.6
3,"Garrett, Jason",DAL,NYG,HC,1.,0.,30.,18.,24.4
4,"Vrabel, Mike",TEN,HOU,HC,1.,0.,31.,16.,24.3
5,"Zimmer, Mike",MIN,@GBP,HC,1.,0.,31.,14.,23.7
6,"Quinn, Dan",ATL,CAR,HC,1.,0.,30.,14.,23.2
7,"Lynn, Anthony",LAC,@BUF,HC,1.,0.,28.,14.,22.2
8,"Pederson, Doug",PHI,@TBB,HC,1.,0.,27.,13.,21.4
9,"McVay, Sean",LAR,ARZ,HC,1.,0.,26.,9.,19.7
10,"Belichick, Bill",NEP,@JAC,HC,1.,0.,27.,5.,19.
11,"Shanahan, Kyle",SFO,DET,HC,1.,0.,26.,5.,18.5
12,"Bowles, Todd",NYJ,MIA,HC,1.,0.,25.,6.,18.3
13,"Gruden, Jon",OAK,@DEN,HC,1.,0.,24.,5.,17.5
14,"Tomlin, Mike",PIT,KCC,HC,1.,0.,25.,1.,16.8
15,"Reid, Andy",KCC,@PIT,HC,1.,0.,25.,1.,16.8
16,"Gruden, Jay",WAS,IND,HC,1.,0.,23.,4.,16.7
17,"Nagy, Matt",CHI,SEA,HC,1.,0.,20.,3.,14.9
18,"Marrone, Doug",JAC,NEP,HC,0.,1.,23.,-4.,10.3
19,"Patricia, Matt",DET,@SFO,HC,0.,1.,21.,-5.,9.
20,"Joseph, Vance",DEN,OAK,HC,0.,1.,20.,-4.,8.8
21,"Reich, Frank",IND,@WAS,HC,0.,1.,19.,-4.,8.3
22,"Campbell, Dan",MIA,@NYJ,HC,0.,1.,19.,-6.,7.7
23,"Carroll, Pete",SEA,@CHI,HC,0.,1.,17.,-3.,7.6
24,"McCarthy, Mike",GBP,MIN,HC,0.,1.,20.,-11.,6.7
25,"Wilks, Steve",ARZ,@LAR,HC,0.,1.,17.,-9.,5.8
26,"McDermott, Sean",BUF,LAC,HC,0.,1.,17.,-11.,5.2
27,"Lewis, Marvin",CIN,BAL,HC,0.,1.,18.,-13.,5.1
28,"Koetter, Dirk",TBB,PHI,HC,0.,1.,16.,-11.,4.7
29,"Rivera, Ron",CAR,@ATL,HC,0.,1.,16.,-14.,3.8
30,"O'Brien, Bill",HOU,@TEN,HC,0.,1.,15.,-16.,2.7
31,"Shurmer, Pat",NYG,@DAL,HC,0.,1.,12.,-18.,0.6
32,"Jackson, Hue",CLE,@NOR,HC,0.,1.,10.,-25.,-2.5
