"Player","Team","FGM","FGA","FG%","EPM","EPA"
"Greg Zuerlein","LAR",31,35,88.6,50,51
"Justin Tucker","BAL",34,37,91.9,38,38
"Ka'imi Fairbairn","HOU",33,37,89.2,39,41
"Stephen Gostkowski","NE",30,33,90.9,48,49
"Wil Lutz","NO",29,33,87.9,51,53
"Harrison Butker","KC",26,30,86.7,50,51
"Matt Prater","DET",29,33,87.9,37,38
"Robbie Gould","SF",29,33,87.9,36,39
"Brett Maher","DAL",27,33,81.8,40,42
"Dan Bailey","MIN",27,33,81.8,40,42
"Mason Crosby","GB",26,31,83.9,41,43
"Jake Elliott","PHI",25,30,83.3,44,47
"Jason Myers","SEA",26,31,83.9,41,44
"Mike Badgley","LAC",24,28,85.7,46,48
"Matt Bryant","ATL",26,31,83.9,40,41
"Ryan Succop","TEN",27,32,84.4,35,39
"Eddy Pineiro","CHI",24,30,80.,44,47
"Joey Slye","CAR",26,31,83.9,37,40
"Aldrick Rosas","NYG",26,30,86.7,35,37
"Adam Vinatieri","IND",25,31,80.6,36,38
"Chris Boswell","PIT",20,25,80.,44,46
"Brandon McManus","DEN",22,27,81.5,38,39
"Austin Seibert","CLE",22,27,81.5,38,38
"Matt Gay","TB",21,27,77.8,37,37
"Dustin Hopkins","WAS",24,29,82.8,27,29
"Josh Lambo","JAC",21,26,80.8,35,38
"Daniel Carlson","OAK",22,26,84.6,32,35
"Randy Bullock","CIN",20,24,83.3,37,39
"Steve Hauschka","BUF",22,26,84.6,30,31
"Taylor Bertolet","NYJ",21,26,80.8,32,34
"Jason Sanders","MIA",19,22,86.4,32,33
"Zane Gonzalez","ARI",16,22,72.7,32,34
