"Player","Team","Rec","Rec Yard","Rec TD"
"Travis Kelce","KC",94,1188,9
"George Kittle","SF",93,1195,8
"Zach Ertz","PHI",85,907,7
"O.J. Howard","TB",58,775,7
"Evan Engram","NYG",66,785,6
"Jared Cook","NO",60,744,6
"Hunter Henry","LAC",58,734,6
"Vance McDonald","PIT",58,697,5
"David Njoku","CLE",57,665,5
"Jimmy Graham","GB",56,597,5
"Delanie Walker","TEN",53,568,5
"Austin Hooper","ATL",61,626,4
"Eric Ebron","IND",54,605,4
"T.J. Hockenson","DET",54,582,4
"Mark Andrews","BAL",59,582,4
"Greg Olsen","CAR",46,505,5
"Kyle Rudolph","MIN",56,555,4
"Noah Fant","DEN",51,549,4
"Trey Burton","CHI",51,546,4
"Jordan Reed","WAS",51,525,4
"Dallas Goedert","PHI",40,440,5
"Chris Herndon","NYJ",40,465,4
"Jason Witten","DAL",48,449,4
"Darren Waller","OAK",41,435,4
"Tyler Eifert","CIN",40,455,3
"Jack Doyle","IND",37,415,3
"Vernon Davis","WAS",33,406,3
"Mike Gesicki","MIA",36,365,3
"Geoff Swaim","JAC",41,387,2
"Adam Shaheen","CHI",38,377,2
"Ben Watson","NE",28,315,3
"Charles Clay","ARI",31,312,3
"Will Dissly","SEA",28,366,2
"Tyler Kroft","BUF",25,303,2
"Cameron Brate","TB",21,229,3
"Blake Jarwin","DAL",28,288,2
"Gerald Everett","LAR",28,282,2
"Irv Smith","MIN",27,277,2
"Jordan Thomas","HOU",25,277,2
"Nick Vannett","SEA",27,275,2
"Ian Thomas","CAR",29,275,2
"C.J. Uzomah","CIN",26,255,2
"Hayden Hurst","BAL",22,235,2
"Jesse James","DET",21,206,2
"Jace Sternberger","GB",20,204,2
"Tyler Higbee","LAR",20,229,1
"Jonnu Smith","TEN",20,226,1
"Rhett Ellison","NYG",21,219,1
"Virgil Green","LAC",20,182,1
"Matt LaCosse","NE",16,180,1
"Demetrius Harris","CLE",15,156,1
"Ryan Griffin","NYJ",16,155,1
"Mo Alie-Cox","IND",14,143,1
"James O'Shaughnessy","JAC",13,137,1
"Josh Hill","NO",11,129,1
"Blake Bell","KC",12,125,1
"Jeff Heuerman","DEN",12,117,1
"Xavier Grimble","PIT",10,114,1
"Jordan Akins","HOU",9,105,1
"Jake Butt","DEN",9,86,1
"Derek Carrier","OAK",7,86,1
"Luke Stocker","ATL",6,67,1
"Maxx Williams","ARI",9,107,0
"Nick Boyle","BAL",8,91,0
"Kahale Warring","HOU",7,76,0
"Dalton Schultz","DAL",7,76,0
"Marcedes Lewis","GB",6,65,0
"David Morgan","MIN",4,45,0
